taxid,rank,date,shield_no
927236,POLICE OFFICER,9/29/2000,7790
927236,DETECTIVE,3/30/2007,5900
955224,POLICE OFFICER,7/9/2013,25946
962629,POLICE OFFICER,10/11/2016,19983
960974,POLICE OFFICER,1/6/2016,17899
960975,POLICE OFFICER,1/6/2016,9252
970721,POLICE OFFICER,12/29/2020,6002
956115,POLICE OFFICER,1/8/2014,11134
937882,POLICE OFFICER,7/11/2005,18393
937882,SERGEANT,1/28/2016,3302
939081,POLICE OFFICER,7/11/2005,9700
939081,SERGEANT,12/23/2010,5197
939081,LIEUTENANT,11/24/2015,
955225,POLICE OFFICER,7/9/2013,989
933067,POLICE OFFICER,7/1/2003,2921
933067,POLICE OFFICER,4/23/2010,663
928817,POLICE OFFICER,7/2/2001,1302
943588,POLICE OFFICER,1/10/2007,2039
942244,POLICE OFFICER,7/10/2006,6418
930786,POLICE OFFICER,7/1/2002,3165
930786,SERGEANT,10/28/2011,4136
954153,POLICE OFFICER,1/9/2013,2879
960976,POLICE OFFICER,1/6/2016,11260
953145,POLICE OFFICER,7/11/2012,18655
937146,POLICE OFFICER,1/10/2005,3617
937146,DETECTIVE,1/28/2010,5917
954154,POLICE OFFICER,1/9/2013,29063
954154,DETECTIVE,7/29/2019,1774
939082,POLICE OFFICER,7/11/2005,2462
944833,POLICE OFFICER,7/9/2007,593
944833,SERGEANT,10/25/2013,4904
966234,POLICE OFFICER,7/2/2018,1105
934009,POLICE OFFICER,1/20/2004,8015
935359,POLICE OFFICER,7/1/2004,10923
962630,POLICE OFFICER,10/11/2016,22178
949371,POLICE OFFICER,7/6/2010,2905
950921,POLICE OFFICER,7/6/2011,19285
914882,POLICE OFFICER,6/29/1995,28387
914882,DETECTIVE,6/28/2013,1728
968023,POLICE OFFICER,7/1/2019,20316
939084,POLICE OFFICER,7/11/2005,30560
939084,SERGEANT,2/25/2011,3647
939084,LIEUTENANT,8/30/2019,
939084,LT SPECIAL ASSIGN,7/21/2022,
963662,POLICE OFFICER,4/12/2017,2081
964177,POLICE OFFICER,7/5/2017,14534
967214,POLICE OFFICER,1/3/2019,29455
958954,POLICE OFFICER,7/8/2015,7131
972813,POLICE OFFICER,10/12/2021,1916
971157,POLICE OFFICER,2/24/2021,22346
953146,POLICE OFFICER,7/11/2012,22064
963663,POLICE OFFICER,4/12/2017,30181
958955,POLICE OFFICER,7/8/2015,31049
933578,POLICE OFFICER,1/20/2004,1557
933578,POLICE OFFICER,2/6/2007,2855
933578,SERGEANT,8/30/2016,609
958956,POLICE OFFICER,7/8/2015,18050
944130,POLICE OFFICER,1/10/2007,29380
970010,POLICE OFFICER,11/2/2020,25586
947814,POLICE OFFICER,7/8/2008,25109
947814,DETECTIVE,6/10/2021,3804
918037,POLICE OFFICER,7/18/1996,4149
962631,POLICE OFFICER,10/11/2016,19559
965807,POLICE OFFICER,4/25/2018,5360
960977,POLICE OFFICER,1/6/2016,22688
891841,POLICE OFFICER,1/1/1990,31613
891841,SERGEANT,3/21/1997,1015
891841,SGT DET SQUAD,3/28/2008,
935360,POLICE OFFICER,7/1/2004,2450
935360,SERGEANT,8/5/2009,2660
935360,LIEUTENANT,8/22/2017,
967215,POLICE OFFICER,1/3/2019,27320
950922,POLICE OFFICER,7/6/2011,4213
950922,SERGEANT,11/24/2020,4982
939086,POLICE OFFICER,7/11/2005,22308
947279,POLICE OFFICER,7/8/2008,17448
925791,POLICE OFFICER,3/1/2000,6844
925791,SERGEANT,12/22/2006,3957
925791,LIEUTENANT,6/28/2019,
931840,POLICE OFFICER,7/1/2002,31543
931840,DETECTIVE,8/31/2015,3250
963175,POLICE OFFICER,1/4/2017,21683
965808,POLICE OFFICER,4/25/2018,1457
960978,POLICE OFFICER,1/6/2016,10234
936055,POLICE OFFICER,1/10/2005,10668
936055,SERGEANT,8/2/2011,1539
936055,SGT DET SQUAD,6/26/2015,
942246,POLICE OFFICER,7/10/2006,28032
942246,DETECTIVE,3/2/2015,4671
935361,POLICE OFFICER,7/1/2004,29761
957877,POLICE OFFICER,1/7/2015,16401
963664,POLICE OFFICER,4/12/2017,31415
935754,POLICE OFFICER,7/1/2004,549
935754,POLICE OFFICER,12/1/2006,940
935754,DETECTIVE,1/26/2007,5788
935754,SERGEANT,12/22/2020,1579
967618,POLICE OFFICER,4/15/2019,14212
949372,POLICE OFFICER,7/6/2010,5819
949372,DETECTIVE,6/9/2017,5189
970723,POLICE OFFICER,12/29/2020,8871
973616,POLICE OFFICER,12/29/2021,30439
944779,POLICE OFFICER,7/9/2007,19769
960979,POLICE OFFICER,1/6/2016,11269
944560,POLICE OFFICER,7/9/2007,5835
944560,SERGEANT,12/19/2014,5135
944560,LIEUTENANT,12/22/2020,
932465,POLICE OFFICER,7/1/2003,31457
932465,DETECTIVE,10/18/2021,6482
970011,POLICE OFFICER,11/2/2020,22936
945932,POLICE OFFICER,1/7/2008,29952
945932,SERGEANT,10/25/2013,2493
945932,LIEUTENANT,1/29/2021,
968024,POLICE OFFICER,7/1/2019,13994
970012,POLICE OFFICER,11/2/2020,18524
950856,POLICE OFFICER,7/6/2011,11413
950856,DETECTIVE,11/21/2017,2662
956957,POLICE OFFICER,7/9/2014,12018
964178,POLICE OFFICER,7/5/2017,25916
958957,POLICE OFFICER,7/8/2015,17516
947661,POLICE OFFICER,7/8/2008,15290
937147,POLICE OFFICER,1/10/2005,10693
937147,SERGEANT,10/26/2012,2772
937147,LIEUTENANT,6/30/2017,
937147,CAPTAIN,10/30/2019,
958958,POLICE OFFICER,7/8/2015,20924
968653,POLICE OFFICER,10/7/2019,27006
946038,POLICE OFFICER,1/7/2008,28894
946038,DETECTIVE,6/2/2014,4072
937148,POLICE OFFICER,1/10/2005,27601
937148,DETECTIVE,2/24/2017,6475
970013,POLICE OFFICER,11/2/2020,25735
966727,POLICE OFFICER,10/24/2018,10033
956958,POLICE OFFICER,7/9/2014,10184
955227,POLICE OFFICER,7/9/2013,18887
955227,DETECTIVE,3/5/2019,221
955227,SERGEANT,12/19/2019,437
888285,POLICE OFFICER,1/9/1986,20976
888285,DETECTIVE,11/26/1996,4160
888285,SERGEANT,10/2/1998,18
888285,SGT DET SQUAD,12/24/2001,
940491,POLICE OFFICER,1/9/2006,8266
902740,POLICE OFFICER,12/2/1992,17013
902740,DETECTIVE,2/27/1998,713
902740,SERGEANT,3/26/1999,162
902740,LIEUTENANT,12/23/2008,
902740,LT SPECIAL ASSIGN,6/9/2017,
902740,LT DET COMMANDER,12/12/2019,
902740,LT SPECIAL ASSIGN,3/29/2021,
902740,LT DET COMMANDER,12/6/2021,
953147,POLICE OFFICER,7/11/2012,3202
942247,POLICE OFFICER,7/10/2006,6436
968654,POLICE OFFICER,10/7/2019,8877
956959,POLICE OFFICER,7/9/2014,4191
958959,POLICE OFFICER,7/8/2015,17661
943590,POLICE OFFICER,1/10/2007,13837
943590,DETECTIVE,10/18/2021,1383
959832,POLICE OFFICER,10/7/2015,9587
953148,POLICE OFFICER,7/11/2012,8995
953148,DETECTIVE,6/28/2019,5853
953148,SERGEANT,6/24/2022,4481
954155,POLICE OFFICER,1/9/2013,29182
968025,POLICE OFFICER,7/1/2019,18284
972129,POLICE OFFICER,7/7/2021,20479
916287,POLICE OFFICER,6/30/1995,23367
971158,POLICE OFFICER,2/24/2021,22356
966728,POLICE OFFICER,10/24/2018,4493
941236,POLICE OFFICER,7/10/2006,27102
941236,DETECTIVE,7/27/2018,765
920634,POLICE OFFICER,12/8/1997,27757
920634,DETECTIVE,3/21/2002,336
949374,POLICE OFFICER,7/6/2010,8315
955228,POLICE OFFICER,7/9/2013,9757
958960,POLICE OFFICER,7/8/2015,29833
958961,POLICE OFFICER,7/8/2015,18931
958961,POLICE OFFICER,11/12/2020,20432
946039,POLICE OFFICER,1/7/2008,30091
973125,POLICE OFFICER,10/15/2021,5758
931241,POLICE OFFICER,7/1/2002,30184
944834,POLICE OFFICER,7/9/2007,16500
944834,SERGEANT,9/28/2012,1298
944834,LIEUTENANT,11/22/2016,
944834,CAPTAIN,10/30/2019,
967216,POLICE OFFICER,1/3/2019,25962
971159,POLICE OFFICER,2/24/2021,25793
957878,POLICE OFFICER,1/7/2015,16719
964179,POLICE OFFICER,7/5/2017,19928
954157,POLICE OFFICER,1/9/2013,10153
928823,POLICE OFFICER,7/2/2001,14844
928823,DETECTIVE,6/24/2016,4941
955229,POLICE OFFICER,7/9/2013,1070
925793,POLICE OFFICER,3/1/2000,31867
965809,POLICE OFFICER,4/25/2018,6662
961965,POLICE OFFICER,7/13/2016,5567
958962,POLICE OFFICER,7/8/2015,4995
930789,POLICE OFFICER,7/1/2002,28555
954158,POLICE OFFICER,1/9/2013,3772
954158,SERGEANT,12/19/2019,5109
956117,POLICE OFFICER,1/8/2014,8191
937152,POLICE OFFICER,1/10/2005,2905
937152,DETECTIVE,3/26/2010,6117
937152,SERGEANT,6/29/2012,860
937152,LIEUTENANT,9/28/2017,
937152,CAPTAIN,10/18/2021,
921613,POLICE OFFICER,7/1/1998,30802
921613,POLICE OFFICER,3/25/2009,30910
921613,DETECTIVE,1/28/2011,5809
945260,POLICE OFFICER,7/9/2007,20981
945260,DETECTIVE,12/19/2014,4091
945260,POLICE OFFICER,2/8/2017,29084
945260,SERGEANT,3/5/2019,4078
939091,POLICE OFFICER,7/11/2005,3140
939091,DETECTIVE,6/29/2012,2036
972409,POLICE OFFICER,7/13/2021,27473
955230,POLICE OFFICER,7/9/2013,24943
954159,POLICE OFFICER,1/9/2013,6953
954159,SERGEANT,10/30/2019,2075
949517,POLICE OFFICER,7/6/2011,5096
949517,SERGEANT,6/30/2017,3383
942248,POLICE OFFICER,7/10/2006,11823
962632,POLICE OFFICER,10/11/2016,13705
924220,POLICE OFFICER,7/7/1999,8823
924220,SERGEANT,9/28/2007,3855
961966,POLICE OFFICER,7/13/2016,14956
934010,POLICE OFFICER,1/20/2004,19476
934010,DETECTIVE,2/28/2014,6823
934010,SERGEANT,1/28/2016,3307
920635,POLICE OFFICER,12/8/1997,23643
920635,DETECTIVE,3/26/2004,3204
970014,POLICE OFFICER,11/2/2020,31609
934011,POLICE OFFICER,1/20/2004,8032
934011,SERGEANT,10/30/2019,2078
953149,POLICE OFFICER,7/11/2012,20975
944131,POLICE OFFICER,1/10/2007,29391
944131,SERGEANT,11/3/2014,4856
921614,POLICE OFFICER,7/1/1998,11075
921614,SERGEANT,8/1/2003,3049
921614,LIEUTENANT,10/31/2008,
921614,LT SPECIAL ASSIGN,3/18/2021,
919452,POLICE OFFICER,4/15/1997,3462
919452,SERGEANT,4/25/2003,2214
919452,LIEUTENANT,9/28/2007,
919452,CAPTAIN,10/30/2015,
919452,DEPUTY INSPECTOR,11/24/2020,
933070,POLICE OFFICER,7/1/2003,2470
933070,SERGEANT,7/25/2008,2310
933070,SGT DET SQUAD,12/21/2021,
948390,POLICE OFFICER,7/14/2009,25942
948390,SERGEANT,5/2/2016,1965
948390,LIEUTENANT,12/22/2020,
970724,POLICE OFFICER,12/29/2020,5192
921019,POLICE OFFICER,12/8/1997,13430
963665,POLICE OFFICER,4/12/2017,7084
922842,POLICE OFFICER,8/31/1998,26014
922842,DETECTIVE,5/26/2006,6296
922842,DETECTIVE,10/5/2007,6266
968443,POLICE OFFICER,10/7/2019,21580
873776,SERGEANT,12/23/1988,2152
873776,LIEUTENANT,8/23/1996,
873776,CAPTAIN,9/29/1998,
873776,DEPUTY INSPECTOR,7/31/2002,
873776,INSPECTOR,11/30/2005,
873776,DEPUTY CHIEF,8/31/2015,
949347,POLICE OFFICER,7/6/2010,5171
949347,SERGEANT,4/28/2017,461
953150,POLICE OFFICER,7/11/2012,18673
953150,SERGEANT,12/22/2020,1580
972130,POLICE OFFICER,7/7/2021,27249
972130,POLICE OFFICER,4/29/2022,9524
949376,POLICE OFFICER,7/6/2010,3595
949376,POLICE OFFICER,12/20/2019,11161
922844,POLICE OFFICER,8/31/1998,24757
922844,POLICE OFFICER,3/4/1999,22517
922844,DETECTIVE,1/28/2011,5821
960981,POLICE OFFICER,1/6/2016,5409
906885,POLICE OFFICER,2/28/1994,23919
906885,PO SPECIAL ASSIGN,8/1/1998,
906885,SERGEANT,9/27/2002,2320
906885,LIEUTENANT,12/30/2005,
906885,CAPTAIN,2/29/2008,
906885,DEPUTY INSPECTOR,3/30/2012,
906885,INSPECTOR,6/26/2015,
906885,DEPUTY CHIEF,12/21/2018,
955232,POLICE OFFICER,7/9/2013,15758
955232,DETECTIVE,11/20/2018,1385
955232,DETECTIVE,1/16/2019,1568
949377,POLICE OFFICER,7/6/2010,7744
937154,POLICE OFFICER,1/10/2005,2200
937154,SERGEANT,2/25/2011,3693
937154,LIEUTENANT,6/24/2022,
940492,POLICE OFFICER,1/9/2006,2825
940492,SERGEANT,10/25/2013,4932
940492,LIEUTENANT,4/30/2020,
940492,LT DET COMMANDER,12/21/2021,
970725,POLICE OFFICER,12/29/2020,25206
970725,POLICE OFFICER,2/3/2021,9337
964670,POLICE OFFICER,10/18/2017,3539
967217,POLICE OFFICER,1/3/2019,27339
920636,POLICE OFFICER,12/8/1997,22081
930794,POLICE OFFICER,7/1/2002,30745
930794,DETECTIVE,10/26/2018,5469
959833,POLICE OFFICER,10/7/2015,19483
970015,POLICE OFFICER,11/2/2020,26488
953152,POLICE OFFICER,7/11/2012,21074
953154,POLICE OFFICER,7/11/2012,31774
953154,SERGEANT,9/3/2021,2328
964180,POLICE OFFICER,7/5/2017,14564
956961,POLICE OFFICER,7/9/2014,8011
942250,POLICE OFFICER,7/10/2006,19555
940493,POLICE OFFICER,1/9/2006,10041
940493,SERGEANT,8/29/2013,3976
940493,LIEUTENANT,8/22/2017,
940493,LT SPECIAL ASSIGN,12/21/2021,
946040,POLICE OFFICER,1/7/2008,29403
946040,SERGEANT,8/29/2013,4000
933071,POLICE OFFICER,7/1/2003,29336
933071,DETECTIVE,11/2/2009,4427
971578,POLICE OFFICER,4/28/2021,4980
957881,POLICE OFFICER,1/7/2015,16814
958964,POLICE OFFICER,7/8/2015,18216
948564,POLICE OFFICER,1/11/2010,5075
948564,DETECTIVE,12/22/2017,1789
948564,SERGEANT,6/25/2020,3786
965358,POLICE OFFICER,1/10/2018,25909
935369,POLICE OFFICER,7/1/2004,2469
958965,POLICE OFFICER,7/8/2015,18370
960984,POLICE OFFICER,1/6/2016,6984
959834,POLICE OFFICER,10/7/2015,21506
955234,POLICE OFFICER,7/9/2013,31861
967218,POLICE OFFICER,1/3/2019,23969
947880,POLICE OFFICER,8/22/2008,11544
947880,DETECTIVE,5/29/2020,3015
948391,POLICE OFFICER,7/14/2009,26914
972131,POLICE OFFICER,7/7/2021,27133
972132,POLICE OFFICER,7/7/2021,27251
947683,POLICE OFFICER,7/8/2008,3789
968655,POLICE OFFICER,10/7/2019,18703
950923,POLICE OFFICER,7/6/2011,24507
950923,SERGEANT,2/9/2022,2706
935372,POLICE OFFICER,7/1/2004,11675
935372,SERGEANT,11/24/2009,1313
935372,LIEUTENANT,6/24/2022,
945387,POLICE OFFICER,1/7/2008,27713
945387,DETECTIVE,6/10/2021,3405
933074,POLICE OFFICER,7/1/2003,12903
933074,SERGEANT,10/18/2021,3033
933074,POLICE OFFICER,7/1/2003,12903
933074,SERGEANT,10/18/2021,3033
949378,POLICE OFFICER,7/6/2010,2771
949378,POLICE OFFICER,7/6/2010,2771
970727,POLICE OFFICER,12/29/2020,3361
970727,POLICE OFFICER,12/29/2020,3361
952039,POLICE OFFICER,1/9/2012,17104
952039,DETECTIVE,10/7/2019,2265
952039,POLICE OFFICER,1/9/2012,17104
952039,DETECTIVE,10/7/2019,2265
966730,POLICE OFFICER,10/24/2018,757
966730,POLICE OFFICER,10/24/2018,757
949379,POLICE OFFICER,7/6/2010,6898
949379,POLICE OFFICER,7/6/2010,6898
924224,POLICE OFFICER,7/7/1999,11285
924224,DETECTIVE,2/20/2002,2101
924224,POLICE OFFICER,7/7/1999,11285
924224,DETECTIVE,2/20/2002,2101
948556,POLICE OFFICER,1/11/2010,9401
948556,POLICE OFFICER,1/11/2010,9401
969242,POLICE OFFICER,1/6/2020,29465
969242,POLICE OFFICER,1/6/2020,29465
935373,POLICE OFFICER,7/1/2004,10519
935373,DETECTIVE,11/24/2015,3421
935373,POLICE OFFICER,7/1/2004,10519
935373,DETECTIVE,11/24/2015,3421
970017,POLICE OFFICER,11/2/2020,26527
970017,POLICE OFFICER,11/2/2020,26527
961967,POLICE OFFICER,7/13/2016,18791
961967,POLICE OFFICER,7/13/2016,18791
950924,POLICE OFFICER,7/6/2011,11443
950924,POLICE OFFICER,7/6/2011,11443
921615,POLICE OFFICER,7/1/1998,1147
921615,POLICE OFFICER,7/1/1998,1147
946043,POLICE OFFICER,1/7/2008,9199
968656,POLICE OFFICER,10/7/2019,16030
962633,POLICE OFFICER,10/11/2016,21494
937155,POLICE OFFICER,1/10/2005,9649
937155,SERGEANT,3/27/2015,5303
965810,POLICE OFFICER,4/25/2018,2296
959835,POLICE OFFICER,10/7/2015,21508
955235,POLICE OFFICER,7/9/2013,9764
953156,POLICE OFFICER,7/11/2012,9022
965360,POLICE OFFICER,1/10/2018,26610
898146,POLICE OFFICER,6/30/1992,5072
898146,DETECTIVE,11/6/1997,5691
955236,POLICE OFFICER,7/9/2013,13600
955236,DETECTIVE,12/21/2018,5679
955236,POLICE OFFICER,6/29/2020,13609
955236,DETECTIVE,1/18/2022,80
939095,POLICE OFFICER,7/11/2005,8841
944836,POLICE OFFICER,7/9/2007,10149
944836,DETECTIVE,11/3/2014,587
968026,POLICE OFFICER,7/1/2019,19849
950925,POLICE OFFICER,7/6/2011,847
943594,POLICE OFFICER,1/10/2007,17487
943594,SERGEANT,8/31/2015,5422
943594,LIEUTENANT,12/21/2021,
954163,POLICE OFFICER,1/9/2013,30125
954164,POLICE OFFICER,1/9/2013,10197
954164,POLICE OFFICER,5/10/2019,2121
954164,SERGEANT,11/24/2020,4984
968028,POLICE OFFICER,7/1/2019,20974
945170,POLICE OFFICER,7/9/2007,21534
945170,DETECTIVE,9/5/2014,1214
947283,POLICE OFFICER,7/8/2008,11135
947283,DETECTIVE,7/29/2019,354
906890,POLICE OFFICER,2/28/1994,10326
949380,POLICE OFFICER,7/6/2010,5291
960985,POLICE OFFICER,1/6/2016,4025
944838,POLICE OFFICER,7/9/2007,7883
944838,SERGEANT,8/31/2015,5424
943597,POLICE OFFICER,1/10/2007,2050
943597,SERGEANT,6/30/2017,3397
947816,POLICE OFFICER,7/8/2008,9281
947816,SERGEANT,9/28/2015,873
947816,LIEUTENANT,6/24/2022,
934016,POLICE OFFICER,1/20/2004,16836
934016,DETECTIVE,4/24/2009,801
965811,POLICE OFFICER,4/25/2018,3405
970018,POLICE OFFICER,11/2/2020,25106
956962,POLICE OFFICER,7/9/2014,3448
919461,POLICE OFFICER,4/15/1997,3527
919461,DETECTIVE,2/25/2000,7596
935374,POLICE OFFICER,7/1/2004,29794
955237,POLICE OFFICER,7/9/2013,13053
955237,SERGEANT,10/18/2021,3035
968658,POLICE OFFICER,10/7/2019,7043
950926,POLICE OFFICER,7/6/2011,22416
967219,POLICE OFFICER,1/3/2019,30523
973618,POLICE OFFICER,12/29/2021,30824
970728,POLICE OFFICER,12/29/2020,6021
895772,POLICE OFFICER,1/1/1990,8803
895772,DETECTIVE,7/22/1998,5386
944839,POLICE OFFICER,7/9/2007,2144
953160,POLICE OFFICER,7/11/2012,13819
968659,POLICE OFFICER,10/7/2019,6037
968659,POLICE OFFICER,1/9/2020,12218
953161,POLICE OFFICER,7/11/2012,23735
953161,POLICE OFFICER,8/10/2018,24047
935375,POLICE OFFICER,7/1/2004,7639
930782,POLICE OFFICER,7/1/2002,19882
899647,POLICE OFFICER,5/2/1991,31845
899647,DETECTIVE,12/22/2017,5261
928833,POLICE OFFICER,7/2/2001,14990
955239,POLICE OFFICER,7/9/2013,18401
964304,POLICE OFFICER,7/5/2017,26051
950927,POLICE OFFICER,7/6/2011,31360
950927,DETECTIVE,11/24/2020,5775
950927,SERGEANT,2/9/2022,105
944718,POLICE OFFICER,7/9/2007,20986
944718,DETECTIVE,4/1/2022,3815
935376,POLICE OFFICER,7/1/2004,6958
958966,POLICE OFFICER,7/8/2015,19034
958966,DETECTIVE,9/3/2021,4834
924230,POLICE OFFICER,7/7/1999,25580
924230,SERGEANT,12/30/2005,5447
924230,LIEUTENANT,8/27/2010,
924230,CAPTAIN,6/2/2014,
924230,DEPUTY INSPECTOR,3/27/2018,
924230,INSPECTOR,6/10/2021,
942252,POLICE OFFICER,7/10/2006,11834
942252,POLICE OFFICER,2/8/2007,1557
942252,SERGEANT,5/29/2012,1557
942252,SGT DET SQUAD,7/30/2021,
956963,POLICE OFFICER,7/9/2014,10911
956963,DETECTIVE,4/1/2022,3146
900527,POLICE OFFICER,1/13/1992,10483
900527,DETECTIVE,6/27/2003,614
926088,POLICE OFFICER,3/1/2000,2871
926088,SERGEANT,6/2/2014,71
928835,POLICE OFFICER,7/2/2001,17474
970729,POLICE OFFICER,12/29/2020,8142
959050,POLICE OFFICER,7/8/2015,18371
961968,POLICE OFFICER,7/13/2016,1935
930804,POLICE OFFICER,7/1/2002,1193
930804,DETECTIVE,1/31/2014,3752
925808,POLICE OFFICER,3/1/2000,11252
925808,DETECTIVE,11/2/2009,4447
927247,POLICE OFFICER,9/29/2000,8829
934473,POLICE OFFICER,7/1/2004,2502
953162,POLICE OFFICER,7/11/2012,24384
953162,DETECTIVE,4/1/2022,3147
955240,POLICE OFFICER,7/9/2013,20469
955240,SERGEANT,9/3/2021,2347
955241,POLICE OFFICER,7/9/2013,19464
969243,POLICE OFFICER,1/6/2020,24816
921618,POLICE OFFICER,7/1/1998,1174
921618,DETECTIVE,2/28/2014,7157
968029,POLICE OFFICER,7/1/2019,15299
956119,POLICE OFFICER,1/8/2014,1893
972410,POLICE OFFICER,7/13/2021,27481
946044,POLICE OFFICER,1/7/2008,22908
946044,DETECTIVE,6/26/2015,5013
933077,POLICE OFFICER,7/1/2003,22840
933077,SERGEANT,7/25/2008,2319
933077,LIEUTENANT,4/24/2015,
933077,LT SPECIAL ASSIGN,6/10/2021,
960093,POLICE OFFICER,10/7/2015,16219
946045,POLICE OFFICER,1/7/2008,9370
924433,POLICE OFFICER,7/7/1999,31916
924433,POLICE OFFICER,10/17/2000,31416
924433,SERGEANT,10/26/2007,3623
972815,POLICE OFFICER,10/12/2021,3453
968030,POLICE OFFICER,7/1/2019,21484
906898,POLICE OFFICER,2/28/1994,7139
906898,SERGEANT,3/30/2001,2194
906898,LIEUTENANT,7/29/2005,
960990,POLICE OFFICER,1/6/2016,5870
960990,DETECTIVE,6/10/2021,3408
960990,DETECTIVE,6/15/2021,7264
955243,POLICE OFFICER,7/9/2013,11648
955243,POLICE OFFICER,11/26/2018,9941
958967,POLICE OFFICER,7/8/2015,19156
956120,POLICE OFFICER,1/8/2014,11434
946048,POLICE OFFICER,1/7/2008,14476
946048,SERGEANT,8/30/2019,5584
932992,POLICE OFFICER,7/1/2003,3214
932992,SERGEANT,8/29/2008,3654
932992,LIEUTENANT,8/29/2013,
932992,CAPTAIN,9/30/2015,
932992,DEPUTY INSPECTOR,6/24/2022,
935380,POLICE OFFICER,7/1/2004,2562
935380,SERGEANT,3/18/2021,587
964183,POLICE OFFICER,7/5/2017,4222
946049,POLICE OFFICER,1/7/2008,27996
968031,POLICE OFFICER,7/1/2019,15968
902083,POLICE OFFICER,6/30/1992,11705
972816,POLICE OFFICER,10/12/2021,7163
952040,POLICE OFFICER,1/9/2012,9064
952040,SERGEANT,12/21/2018,3353
943598,POLICE OFFICER,1/10/2007,13698
943598,SERGEANT,11/22/2016,2527
944581,DETECTIVE,8/17/2021,1870
965361,POLICE OFFICER,1/10/2018,14486
946149,POLICE OFFICER,1/7/2008,28409
934019,POLICE OFFICER,1/20/2004,22247
934019,SERGEANT,12/19/2014,15
968032,POLICE OFFICER,7/1/2019,21215
957885,POLICE OFFICER,1/7/2015,15791
957885,DETECTIVE,2/9/2022,1761
965812,POLICE OFFICER,4/25/2018,6761
971160,POLICE OFFICER,2/24/2021,26190
958969,POLICE OFFICER,7/8/2015,19163
972133,POLICE OFFICER,7/7/2021,26018
948392,POLICE OFFICER,7/14/2009,26597
972411,POLICE OFFICER,7/13/2021,27851
922854,POLICE OFFICER,8/31/1998,31619
922854,SERGEANT,11/30/2006,1966
943599,POLICE OFFICER,1/10/2007,21592
943599,DETECTIVE,10/30/2015,349
945261,POLICE OFFICER,7/9/2007,20403
952041,POLICE OFFICER,1/9/2012,20814
952041,SERGEANT,6/25/2020,4343
965362,POLICE OFFICER,1/10/2018,26990
956121,POLICE OFFICER,1/8/2014,16360
945262,POLICE OFFICER,7/9/2007,13089
945262,DETECTIVE,7/27/2018,1862
945262,SERGEANT,8/31/2018,4806
966732,POLICE OFFICER,10/24/2018,7520
968660,POLICE OFFICER,10/7/2019,18002
964672,POLICE OFFICER,10/18/2017,4483
949381,POLICE OFFICER,7/6/2010,9957
956122,POLICE OFFICER,1/8/2014,13393
939098,POLICE OFFICER,7/11/2005,24545
939098,SERGEANT,6/28/2019,298
943601,POLICE OFFICER,1/10/2007,15231
943601,SERGEANT,11/26/2013,1680
969244,POLICE OFFICER,1/6/2020,18389
963176,POLICE OFFICER,1/4/2017,25089
934020,POLICE OFFICER,1/20/2004,10314
934020,DETECTIVE,10/26/2012,6430
970731,POLICE OFFICER,12/29/2020,9565
953165,POLICE OFFICER,7/11/2012,11438
953165,SERGEANT,12/19/2019,4634
954167,POLICE OFFICER,1/9/2013,5957
954167,SERGEANT,7/21/2022,349
955245,POLICE OFFICER,7/9/2013,13616
955245,DETECTIVE,2/9/2022,1762
949383,POLICE OFFICER,7/6/2010,3599
949383,POLICE OFFICER,1/8/2018,5199
949383,DETECTIVE,11/20/2018,1396
966733,POLICE OFFICER,10/24/2018,5750
966238,POLICE OFFICER,7/2/2018,14318
950930,POLICE OFFICER,7/6/2011,3334
950930,DETECTIVE,6/10/2021,3410
950930,SERGEANT,2/9/2022,2708
950930,SERGEANT,3/4/2022,3217
896579,POLICE OFFICER,4/25/1990,6512
896579,SERGEANT,11/25/1997,3330
896579,LIEUTENANT,1/26/2001,
896579,CAPTAIN,5/25/2007,
932190,POLICE OFFICER,7/1/2003,28062
932190,SERGEANT,9/29/2008,3851
932190,LIEUTENANT,11/24/2020,
969246,POLICE OFFICER,1/6/2020,7694
967221,POLICE OFFICER,1/3/2019,23581
961970,POLICE OFFICER,7/13/2016,13590
962730,POLICE OFFICER,10/11/2016,19062
950931,POLICE OFFICER,7/6/2011,5138
950931,DETECTIVE,11/26/2019,3031
973620,POLICE OFFICER,12/29/2021,31074
942255,POLICE OFFICER,7/10/2006,12969
942255,DETECTIVE,8/30/2012,6511
933080,POLICE OFFICER,7/1/2003,29579
933080,DETECTIVE,7/25/2008,3263
933080,SERGEANT,6/29/2012,4504
933080,SGT DET SQUAD,11/24/2020,
953166,POLICE OFFICER,7/11/2012,22329
958970,POLICE OFFICER,7/8/2015,19273
942256,POLICE OFFICER,7/10/2006,30409
942257,POLICE OFFICER,7/10/2006,16262
937161,POLICE OFFICER,1/10/2005,2912
937161,POLICE OFFICER,7/8/2009,6610
937161,POLICE OFFICER,4/25/2014,1970
972817,POLICE OFFICER,10/12/2021,7600
951603,POLICE OFFICER,1/9/2012,13915
956123,POLICE OFFICER,1/8/2014,10813
956123,DETECTIVE,7/26/2018,534
937162,POLICE OFFICER,1/10/2005,30968
937162,SERGEANT,4/25/2014,1005
937162,LIEUTENANT,9/28/2018,
972135,POLICE OFFICER,7/7/2021,27487
940567,POLICE OFFICER,1/9/2006,31173
946051,POLICE OFFICER,1/7/2008,15731
946051,SERGEANT,3/2/2015,2105
