taxid,rank,date,shield_no
967405,POLICE OFFICER,4/15/2019,23479
936093,POLICE OFFICER,1/10/2005,23479
936093,SERGEANT,6/29/2012,2157
949835,POLICE OFFICER,7/6/2011,20113
949835,DETECTIVE,1/27/2017,5992
949835,SERGEANT,10/7/2019,2933
934363,POLICE OFFICER,7/1/2004,21504
934363,DETECTIVE,5/27/2022,4588
961592,POLICE OFFICER,7/13/2016,18377
961592,DETECTIVE,2/9/2022,1014
963833,POLICE OFFICER,7/5/2017,25760
936095,POLICE OFFICER,1/10/2005,31645
936095,SERGEANT,11/22/2016,1835
949957,POLICE OFFICER,7/6/2011,8316
971299,POLICE OFFICER,4/28/2021,19593
973196,POLICE OFFICER,12/29/2021,20267
940948,POLICE OFFICER,1/9/2006,20743
940948,DETECTIVE,12/22/2017,6669
940948,SERGEANT,10/30/2019,1067
952380,POLICE OFFICER,7/11/2012,6077
973197,POLICE OFFICER,12/29/2021,20541
944303,POLICE OFFICER,7/9/2007,15420
944303,SERGEANT,2/28/2014,1047
944303,LIEUTENANT,5/3/2019,
948585,POLICE OFFICER,7/6/2010,9438
948585,SERGEANT,3/18/2021,130
932123,POLICE OFFICER,7/1/2003,9400
970962,POLICE OFFICER,2/24/2021,22723
965918,POLICE OFFICER,7/2/2018,4444
941549,POLICE OFFICER,7/10/2006,28355
934364,POLICE OFFICER,7/1/2004,10798
973198,POLICE OFFICER,12/29/2021,21285
952381,POLICE OFFICER,7/11/2012,30643
937936,POLICE OFFICER,7/11/2005,29118
937936,SERGEANT,3/2/2015,1289
934975,POLICE OFFICER,7/1/2004,10243
934975,SERGEANT,10/29/2010,274
949958,POLICE OFFICER,7/6/2011,25347
949958,SERGEANT,10/7/2019,3120
948586,POLICE OFFICER,7/6/2010,12854
948586,POLICE OFFICER,9/10/2014,12845
948586,DETECTIVE,7/28/2017,3108
945454,POLICE OFFICER,1/7/2008,25988
951477,POLICE OFFICER,1/9/2012,8219
964861,POLICE OFFICER,1/10/2018,26278
942926,POLICE OFFICER,1/10/2007,16692
942926,SERGEANT,12/19/2019,5033
964859,POLICE OFFICER,1/10/2018,12539
967739,POLICE OFFICER,7/1/2019,14901
969449,POLICE OFFICER,11/2/2020,11980
959780,POLICE OFFICER,10/7/2015,21975
937937,POLICE OFFICER,7/11/2005,6642
937937,SERGEANT,3/18/2021,135
970964,POLICE OFFICER,2/24/2021,23495
954459,POLICE OFFICER,7/9/2013,6796
954459,SERGEANT,6/28/2019,104
964860,POLICE OFFICER,1/10/2018,29105
960124,POLICE OFFICER,1/6/2016,3365
951479,POLICE OFFICER,1/9/2012,6549
971780,POLICE OFFICER,7/7/2021,11884
971781,POLICE OFFICER,7/7/2021,12567
956367,POLICE OFFICER,7/9/2014,9923
949959,POLICE OFFICER,7/6/2011,16469
949959,DETECTIVE,8/22/2017,4092
968913,POLICE OFFICER,1/6/2020,8134
959436,POLICE OFFICER,10/7/2015,24060
968209,POLICE OFFICER,10/7/2019,5491
948587,POLICE OFFICER,7/6/2010,4362
937938,POLICE OFFICER,7/11/2005,26116
937938,DETECTIVE,4/24/2015,6499
970367,POLICE OFFICER,12/29/2020,1793
966417,POLICE OFFICER,10/24/2018,9153
969450,POLICE OFFICER,11/2/2020,22357
969450,POLICE OFFICER,2/1/2021,22359
960125,POLICE OFFICER,1/6/2016,11336
957313,POLICE OFFICER,1/7/2015,15568
945455,POLICE OFFICER,1/7/2008,4262
945455,DETECTIVE,11/3/2014,729
945455,SERGEANT,11/24/2020,1030
968914,POLICE OFFICER,1/6/2020,22153
907685,POLICE OFFICER,10/28/1994,7914
968915,POLICE OFFICER,1/27/2020,23341
949961,POLICE OFFICER,7/6/2011,20671
949961,SERGEANT,3/27/2018,765
973199,POLICE OFFICER,12/29/2021,20149
931513,POLICE OFFICER,7/1/2002,5667
931513,DETECTIVE,3/31/2017,6917
946719,POLICE OFFICER,7/8/2008,19747
